"Total Deaths due to Climate Change (by country)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"IND"	623579.26	418241.71	269572.77	175146.25	119065.45	89124.91	79462.49	81277.33	89847.09	101183.27	114802.97	131216.75	149258.38	170559.53	189187.33	208159.86	228415.66	249011.53	273879.43
"IRL"	37.21	39.21	-0.21	-94.65	-264.02	-513.21	-863.10	-1315.89	-1863.63	-2324.05	-2786.02	-3266.27	-3759.08	-4301.24	-4844.59	-5348.12	-5780.01	-6128.86	-6415.41
"IRN"	1137.33	480.60	-516.09	-1728.79	-3454.86	-5796.51	-8673.17	-12620.39	-18457.70	-24788.56	-29255.56	-31443.35	-32597.64	-34413.80	-36811.41	-38827.04	-40321.00	-41465.62	-42425.78
"IRQ"	3096.99	2636.04	1775.97	1239.02	536.00	-221.15	-979.47	-1861.57	-2812.91	-3957.54	-5310.86	-6940.59	-8788.13	-10817.98	-13080.68	-15604.01	-18339.79	-21170.25	-23983.58
"ISL"	2.15	1.83	-1.65	-9.72	-23.07	-40.95	-64.13	-92.36	-125.62	-161.53	-199.58	-235.52	-269.17	-303.42	-335.10	-363.30	-387.48	-407.25	-422.82
"ISR"	158.21	32.80	-105.28	-284.29	-495.24	-733.33	-1033.17	-1364.70	-1704.13	-2058.29	-2406.95	-2783.29	-3201.52	-3708.38	-4249.80	-4726.67	-5159.84	-5568.04	-5971.77
"ITA"	410.28	-412.35	-1703.62	-3648.54	-6620.79	-10653.47	-15483.36	-20384.19	-24940.72	-29111.72	-32931.34	-36381.09	-39768.49	-43234.14	-46735.99	-49933.38	-52726.68	-55088.44	-57017.18
"JAM"	173.19	143.03	123.59	107.35	94.69	88.25	87.66	90.15	94.19	98.65	103.57	109.33	114.19	118.91	121.73	124.24	126.64	129.32	132.88
"JOR"	76.19	44.85	-21.18	-92.84	-201.89	-357.61	-575.02	-860.60	-1216.76	-1554.78	-1876.58	-2166.05	-2468.53	-2950.04	-3531.61	-4062.68	-4450.92	-4759.48	-5033.23
"JPN"	3568.83	7963.38	11016.72	12814.07	13110.56	11588.53	7995.91	3040.05	-3084.30	-10175.00	-17781.36	-25580.33	-33247.95	-40530.01	-47168.84	-53072.44	-58101.74	-62162.56	-65216.72
"KAZ"	591.09	209.97	-204.48	-707.70	-1244.49	-1781.62	-2303.72	-2827.40	-3460.18	-4284.21	-4763.27	-4796.39	-4836.69	-5561.35	-6501.19	-7349.50	-7922.57	-8203.26	-8515.99
"KEN"	17138.63	14107.37	10270.74	6739.02	4137.14	2683.61	2005.17	1744.01	1737.47	1903.95	2226.12	2658.37	3141.66	3627.20	4109.95	4583.66	5039.49	5455.50	5849.59
"KGZ"	434.40	291.92	153.63	-16.53	-208.91	-385.62	-549.24	-662.55	-851.07	-1240.50	-1572.48	-1702.08	-1680.21	-1845.46	-2325.15	-2827.63	-3213.92	-3402.21	-3507.72
"KHM"	1737.58	1334.23	907.85	705.72	561.09	495.86	498.18	548.82	630.46	734.82	845.85	941.74	1077.02	1233.11	1377.78	1516.41	1645.13	1765.42	1928.30
"KOR"	198.61	1364.14	2297.58	2872.28	3021.29	2692.12	1868.49	635.01	-971.41	-2835.65	-4921.60	-7092.36	-9325.47	-11561.24	-13647.58	-15512.42	-17081.03	-18341.54	-19325.60
"KWT"	8.21	-2.80	-15.52	-37.81	-68.38	-119.49	-175.65	-299.41	-516.54	-715.17	-885.99	-1057.61	-1206.30	-1383.35	-1609.61	-1856.53	-2080.35	-2268.10	-2430.23
"LAO"	1864.45	1500.54	1058.64	840.78	665.15	566.80	537.33	551.88	612.49	686.26	767.17	818.30	920.24	1050.85	1175.80	1300.17	1415.16	1523.94	1692.01
"LBN"	52.87	5.24	-77.64	-174.54	-311.77	-477.14	-659.12	-887.25	-1188.19	-1528.78	-1854.98	-2085.53	-2214.49	-2227.31	-2230.27	-2226.85	-2208.67	-2183.26	-2147.85
"LBR"	4863.13	4313.31	3331.17	2292.03	1449.36	938.68	670.00	532.62	473.05	460.49	478.60	521.69	589.09	670.90	765.89	875.73	1006.42	1160.85	1359.38
"LKA"	1788.82	1277.48	876.17	599.18	418.85	330.34	329.53	380.67	464.37	594.46	755.81	933.74	1097.57	1234.22	1342.71	1452.95	1561.71	1661.42	1744.82
"LSO"	2112.74	1485.61	950.59	561.11	314.91	188.65	130.07	102.90	91.44	88.10	89.56	95.14	105.02	116.12	126.71	136.99	147.79	159.40	172.78
"LTU"	5.22	-85.62	-181.73	-297.74	-435.09	-573.25	-706.57	-827.26	-968.71	-1130.57	-1236.01	-1245.47	-1188.33	-1164.48	-1180.24	-1230.28	-1281.84	-1299.51	-1275.11
"LUX"	17.68	16.13	10.18	-1.90	-23.93	-56.54	-96.74	-144.74	-199.86	-257.69	-321.87	-389.21	-453.43	-510.98	-564.47	-610.73	-650.41	-684.08	-711.57
"LVA"	3.01	-68.99	-142.00	-222.48	-306.94	-385.28	-464.09	-531.69	-611.04	-707.49	-757.92	-730.40	-705.88	-708.78	-731.20	-769.92	-802.51	-807.08	-789.50
"MAR"	1508.45	1022.90	454.96	-30.46	-522.87	-992.84	-1439.95	-1906.04	-2482.96	-3036.23	-3557.03	-3870.17	-4016.36	-4203.70	-4996.83	-5623.18	-6060.52	-6312.88	-6465.94
"MDA"	15.81	-69.03	-173.38	-299.90	-431.57	-524.26	-602.40	-695.24	-855.49	-1102.44	-1241.80	-1200.51	-1092.71	-1082.62	-1087.25	-1099.48	-1089.42	-1051.92	-1022.77
"MDG"	11721.18	10569.43	8382.16	5930.89	3845.38	2554.28	1884.63	1573.93	1505.53	1569.06	1720.68	1954.55	2281.41	2661.87	3063.16	3473.20	3900.18	4357.08	4895.55
"MDV"	4.73	4.48	4.40	4.73	5.45	6.60	8.15	10.05	12.34	14.94	17.54	19.96	21.98	23.86	25.67	27.06	28.04	28.67	29.09
"MEX"	5129.84	4337.85	3705.62	3099.48	2583.88	2279.77	2256.03	2495.51	2970.63	3630.69	4367.48	5125.66	5932.39	6736.61	7511.90	8211.95	8808.44	9293.71	9675.62
"MKD"	20.87	78.36	88.21	45.43	-55.54	-218.27	-438.82	-721.36	-1053.33	-1406.40	-1746.16	-2020.29	-2244.99	-2427.62	-2577.59	-2698.63	-2794.51	-2863.98	-2906.58
"MLI"	9253.60	7167.31	5175.47	3444.01	2166.87	1450.82	1127.61	1030.57	1088.00	1260.27	1522.29	1868.07	2292.35	2765.08	3266.14	3790.41	4337.54	4908.66	5534.55
"MLT"	1.80	-1.39	-10.19	-24.59	-44.07	-64.21	-87.77	-119.27	-155.13	-193.49	-231.00	-265.17	-290.15	-310.98	-327.26	-340.57	-351.16	-358.57	-362.99
"MNE"	1.44	17.55	20.33	8.55	-18.51	-57.71	-112.81	-185.52	-275.17	-365.03	-461.64	-552.04	-629.53	-703.77	-761.89	-809.35	-847.13	-875.77	-895.91
"MNG"	87.30	286.19	469.76	621.32	700.99	688.16	559.79	300.29	-84.51	-546.62	-1094.40	-1733.43	-2430.90	-3047.20	-3552.26	-3991.13	-4398.07	-4791.22	-5126.77
"MOZ"	13956.85	10702.10	7424.65	4755.65	2890.90	1868.88	1399.44	1236.59	1267.07	1419.29	1651.23	1947.31	2271.47	2612.73	2961.26	3299.93	3613.08	3887.95	4151.19
"MRT"	1851.43	1484.88	1062.59	689.87	419.70	269.10	198.28	170.96	170.84	188.10	217.42	256.95	304.66	356.04	409.03	463.22	518.37	573.71	631.70
"MUS"	23.82	24.89	22.94	25.22	27.09	29.21	30.27	31.77	34.02	37.15	40.91	44.55	47.95	50.17	51.66	52.80	53.75	54.55	55.19
"MWI"	12261.91	9642.60	6890.96	4512.83	2784.68	1812.12	1346.78	1151.96	1131.72	1217.26	1374.53	1609.56	1917.92	2253.05	2626.70	3020.66	3438.15	3877.26	4373.75
"MYS"	314.10	279.76	245.83	232.36	241.16	278.88	348.73	447.07	551.87	661.84	778.83	907.63	1044.13	1192.03	1315.36	1423.77	1518.68	1604.54	1690.72
"NAM"	1022.04	783.42	576.55	520.77	461.85	412.43	338.11	265.28	212.73	181.85	164.86	159.35	163.59	173.52	185.01	198.80	211.74	224.89	240.23
"NER"	29842.07	27969.85	23333.75	17562.12	12208.63	8705.19	6825.98	5929.67	5712.09	5957.43	6562.22	7595.63	9150.93	11093.60	13379.86	16062.37	19266.22	23059.85	27790.56
"NGA"	89157.57	80209.00	63141.91	44370.60	28866.61	19598.84	15080.47	13312.04	13369.29	14706.35	17020.86	20281.89	24449.59	29155.61	34195.78	39615.72	45501.23	51839.05	59045.57
"NLD"	382.82	230.97	-101.96	-639.71	-1441.17	-2457.98	-3549.52	-4569.25	-5651.00	-6794.34	-7988.77	-9188.92	-10467.86	-11608.97	-12649.24	-13582.37	-14414.61	-15144.05	-15761.68
"NOR"	323.17	254.65	152.55	5.89	-213.25	-515.77	-880.40	-1281.46	-1742.49	-2268.98	-2852.85	-3455.60	-4047.09	-4650.15	-5249.67	-5814.74	-6332.41	-6791.14	-7180.97
"NPL"	9545.03	7144.24	5083.97	3499.30	2352.98	1656.88	1333.38	1244.80	1287.72	1364.25	1441.83	1482.12	1497.38	1573.36	1738.75	1894.04	2036.31	2158.20	2284.49
"NZL"	26.49	194.58	329.75	414.57	422.48	352.91	189.50	-61.87	-432.29	-918.96	-1484.13	-2086.94	-2711.71	-3345.11	-3940.35	-4476.01	-4939.25	-5321.92	-5621.36
"OMN"	63.18	72.66	34.22	-5.58	-45.20	-98.98	-173.48	-347.88	-861.02	-1587.81	-2096.50	-2223.09	-2130.75	-1970.45	-1833.58	-1705.59	-1626.86	-1602.64	-1608.02
"PAK"	76978.82	72798.11	62930.19	46597.29	32191.36	22251.94	17338.43	15500.30	15544.18	16320.23	17729.96	19429.72	21598.78	23833.98	25913.31	27717.17	29310.03	30612.45	31948.50
"PAN"	161.98	118.92	93.04	74.52	62.76	60.34	68.18	86.06	113.44	148.16	188.48	231.24	275.12	318.63	359.70	396.58	427.71	452.76	471.18
"PER"	1138.58	1202.62	1301.71	1345.79	1280.37	1073.71	675.07	36.93	-799.93	-1845.94	-3029.96	-4249.16	-5432.98	-6532.91	-7526.43	-8388.39	-9101.10	-9658.39	-10065.56
"PHL"	7294.60	6117.87	4863.66	3785.13	2969.18	2546.10	2524.50	2797.32	3275.74	3890.18	4590.15	5372.04	6187.93	7004.92	7808.23	8577.56	9295.11	9914.46	10586.20
"POL"	91.06	930.42	774.71	-433.17	-2297.69	-4927.01	-8819.72	-14092.95	-20478.97	-26783.82	-32442.22	-36923.59	-40474.69	-43922.20	-47214.40	-50328.81	-53077.85	-55205.14	-56600.28
"PRT"	98.14	-11.31	-217.50	-543.22	-1026.47	-1653.77	-2457.60	-3377.73	-4264.56	-5011.31	-5658.56	-6226.62	-6763.75	-7202.67	-7536.79	-7783.71	-7961.43	-8079.65	-8148.85
"PRY"	405.19	433.79	466.44	482.05	476.55	452.83	406.30	307.67	137.68	-90.20	-358.57	-649.58	-944.14	-1228.05	-1515.09	-1784.84	-2024.97	-2225.69	-2382.04
"QAT"	4.08	0.52	-4.93	-16.81	-43.20	-105.12	-226.83	-415.25	-729.44	-1084.27	-1267.85	-1280.51	-1212.51	-1107.17	-1022.17	-966.56	-942.81	-939.32	-942.45
"ROU"	67.14	534.12	554.52	92.35	-650.60	-2384.48	-4585.13	-7447.41	-10469.80	-13767.67	-16163.61	-18137.24	-19875.74	-21526.25	-23095.62	-24512.58	-25644.79	-26460.92	-27006.81
"RUS"	5633.15	744.77	-4646.49	-10847.75	-17291.51	-21761.44	-26308.00	-31094.73	-37173.17	-44418.19	-46442.93	-43763.21	-41294.78	-41315.82	-43500.68	-46030.99	-47252.41	-47300.35	-47318.11
"RWA"	3689.91	2990.79	2151.77	1396.15	840.98	535.67	396.12	340.68	330.56	354.38	422.46	466.50	541.20	597.76	639.59	666.94	676.13	667.41	643.08
"SAU"	510.96	253.76	10.74	-347.73	-868.73	-1623.43	-2692.17	-4235.98	-6043.24	-8048.31	-9769.72	-11137.69	-12186.97	-13453.79	-14881.34	-16072.53	-16532.91	-16410.42	-16191.82
"SDN"	16275.87	11310.03	8306.93	6417.90	5190.92	4538.59	4394.72	4655.43	5105.38	5619.40	6248.50	7091.86	8130.36	9328.31	10467.78	11818.55	13304.32	14918.58	16856.85
"SEN"	8701.78	7512.49	5700.50	3882.27	2456.72	1621.78	1206.69	1021.88	980.62	1030.56	1147.95	1329.80	1564.97	1824.08	2092.11	2378.36	2686.55	3012.14	3373.08
"SGP"	35.86	32.23	27.32	22.92	20.33	20.68	23.75	30.38	39.91	50.75	59.51	69.88	83.96	99.45	110.88	119.46	124.86	127.50	129.25
"SLE"	2639.10	1656.15	1001.77	574.09	320.07	196.43	146.09	132.90	142.15	166.62	201.18	240.25	281.00	322.60	363.06	400.90	434.38	462.09	484.61
"SLV"	360.41	308.63	267.38	220.43	171.09	129.47	100.10	75.64	50.13	9.48	-49.42	-107.33	-123.15	-127.94	-135.08	-138.92	-132.73	-115.10	-89.19
"SRB"	16.24	231.66	212.60	-3.92	-407.30	-1009.32	-1868.77	-2983.57	-4210.19	-5410.55	-6478.43	-7289.12	-7907.47	-8339.38	-8604.73	-8772.11	-8875.95	-8926.04	-8935.59
"STP"	37.28	32.70	25.05	17.52	12.07	9.37	8.56	8.78	9.65	10.88	12.27	13.82	15.57	17.50	19.44	21.32	23.17	25.08	27.17
"SUR"	22.89	21.41	21.76	21.51	19.04	14.84	8.18	0.23	-11.58	-25.01	-38.34	-54.48	-70.66	-84.04	-96.05	-106.33	-115.02	-122.17	-127.59
"SVK"	18.59	162.24	171.47	45.42	-210.69	-583.54	-1163.91	-1971.59	-2864.65	-3780.24	-4608.90	-5251.33	-5791.50	-6332.60	-6858.84	-7355.89	-7784.86	-8111.05	-8331.02
"SVN"	5.85	39.01	20.44	-50.83	-180.63	-370.09	-610.40	-919.53	-1260.00	-1603.91	-1918.65	-2218.08	-2507.83	-2813.26	-3104.70	-3369.92	-3596.55	-3780.60	-3922.87
