"GDP by Region (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"SSA"	683.39	852.28	1091.24	1376.29	1729.49	2139.93	2533.18	2866.18	3102.41	3234.57	3266.01	3146.03	2888.32	2576.46	2255.22	1938.68	1634.47	1353.86	1095.70
"SIS"	87.64	105.94	122.94	139.62	156.84	170.23	175.54	172.76	163.38	151.00	136.87	121.60	105.11	88.86	75.60	62.94	51.58	41.62	33.00

"GDP per capita by Region (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"USA"	41633.69	45690.73	51818.24	56236.96	60617.49	64384.49	67102.22	68891.87	69724.88	71888.34	74731.36	77916.53	79248.81	80584.58	82656.51	83324.79	84190.81	84718.33	84146.76
"CAN"	33991.44	38568.42	43802.07	46888.85	50872.04	56808.40	62487.62	67474.94	71174.20	75177.26	81164.38	87696.25	93160.29	95498.22	97502.63	97185.18	95700.80	95520.03	95546.45
"WEU"	686976.83	732327.29	794581.56	849950.05	923130.26	1006526.70	1079702.27	1136952.96	1179828.59	1228572.81	1295037.71	1354074.71	1393164.58	1404643.51	1419170.32	1419194.56	1422977.47	1428507.26	1433561.10
"JPK"	84814.09	95808.57	108351.66	120879.11	131111.10	138404.62	141581.95	144079.81	144237.94	145947.07	143511.25	142584.16	142877.22	138776.59	136096.47	133237.35	129362.38	124832.03	121135.68
"ANZ"	61436.62	71497.11	82879.64	93262.68	104783.48	117869.25	129937.61	141539.52	148204.35	154722.99	165512.65	174443.64	179319.23	179865.64	179060.37	176017.44	173592.39	172471.56	170276.64
"EEU"	176445.56	195554.93	225844.06	255154.18	287737.87	316565.99	331326.50	333293.58	332095.40	334405.43	343101.72	350172.24	346639.76	335440.71	325122.77	314737.93	306167.51	300885.01	293388.92
"FSU"	149913.75	175320.59	208911.05	249443.70	289018.00	321583.36	334899.38	330081.28	316443.03	311598.39	319607.80	325987.75	315435.16	294626.21	282146.61	272081.86	266339.85	259308.90	246459.83
"MDE"	351081.18	418740.96	495012.95	587230.76	698535.55	787850.25	847051.69	875362.05	883571.39	903527.65	945107.35	966128.98	961561.16	945210.50	945795.28	938895.93	930457.14	913434.11	874507.20
"CAM"	46718.47	56482.16	67652.48	84290.64	106205.22	131372.34	153859.31	172461.63	185381.56	193992.25	196923.45	197185.86	192456.98	185150.89	181130.24	174585.72	166324.02	156954.36	145545.30
"SAM"	96559.72	114832.64	134314.42	157507.92	185625.21	214307.90	237053.85	252861.94	261656.84	267363.31	270392.84	270059.67	265021.24	255873.11	250409.49	242302.64	231495.83	218589.85	203998.16
"SAS"	22149.48	27023.54	33939.81	42884.28	53905.08	65804.03	75596.47	81951.66	85534.20	87725.19	88271.62	86670.12	83571.58	79346.19	75633.37	71450.00	67074.55	63042.09	58377.78
"SEA"	142345.17	166668.91	202164.47	243557.14	290177.97	333843.73	363188.86	375280.64	378911.42	380911.19	378603.72	369544.85	353503.48	335193.86	320375.52	302977.18	285454.57	268427.84	249282.15
"CHI"	13668.58	19037.85	26791.61	34396.12	41786.18	47148.21	49627.76	50413.68	48726.88	46373.80	44603.94	43569.46	41191.29	38024.13	35808.83	33431.84	31525.32	29732.96	27330.58
"NAF"	19534.81	23545.11	31167.34	39946.70	50607.50	61553.74	69736.27	74932.23	77016.18	78636.34	79996.53	80245.11	77303.48	72899.72	69319.62	66633.74	63734.00	61299.24	57423.61
"SSA"	126945.41	164928.81	217764.05	271483.32	342741.98	427086.88	525877.04	633805.77	741890.93	840733.71	924962.85	979772.36	995385.41	985357.91	962456.60	920372.80	871147.77	815918.32	751591.34
"SIS"	115995.10	147367.39	183212.22	223384.93	272111.62	322733.48	367831.78	404862.35	433273.35	456044.71	472645.90	480549.81	476456.65	462891.60	451821.07	434027.34	412320.52	387419.39	358779.01

"GDP by Country (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"USA"	1.300000E+13	1.485532E+13	1.751368E+13	1.971813E+13	2.198165E+13	2.404558E+13	2.571124E+13	2.701325E+13	2.794943E+13	2.942895E+13	3.122006E+13	3.318537E+13	3.435350E+13	3.547722E+13	3.687417E+13	3.759577E+13	3.835632E+13	3.890723E+13	3.888169E+13
"CAN"	1.160000E+12	1.383499E+12	1.647495E+12	1.837329E+12	2.066270E+12	2.379414E+12	2.689575E+12	2.978584E+12	3.219034E+12	3.474128E+12	3.823958E+12	4.204269E+12	4.536289E+12	4.712704E+12	4.865030E+12	4.891257E+12	4.846671E+12	4.855705E+12	4.861635E+12
"ARG"	5.500000E+11	6.781724E+11	8.158562E+11	9.863286E+11	1.194828E+12	1.410278E+12	1.589665E+12	1.724217E+12	1.809723E+12	1.870023E+12	1.906581E+12	1.917927E+12	1.888448E+12	1.820742E+12	1.780611E+12	1.718533E+12	1.637156E+12	1.539707E+12	1.429815E+12
"ARM"	1.662522E+10	2.109134E+10	2.658527E+10	3.357575E+10	3.889231E+10	4.307825E+10	4.496745E+10	4.390645E+10	4.078665E+10	3.895329E+10	3.882852E+10	3.929613E+10	3.724635E+10	3.397088E+10	3.183101E+10	2.995072E+10	2.890281E+10	2.762748E+10	2.586122E+10
